model_trained_on,tested_on,class_index,class_name,precision_P_true_class_given_model_guessed_class
clean,clean,0,airplane,0.8099352051835853
clean,clean,1,automobile,0.8356164383561644
clean,clean,2,bird,0.6228150873965042
clean,clean,3,cat,0.5822784810126582
clean,clean,4,deer,0.7696335078534031
clean,clean,5,dog,0.5805084745762712
clean,clean,6,frog,0.7172995780590717
clean,clean,7,horse,0.8194905869324474
clean,clean,8,ship,0.82
clean,clean,9,truck,0.7899408284023669
gaussian,gaussian,0,airplane,0.6832298136645962
gaussian,gaussian,1,automobile,0.8440567066521265
gaussian,gaussian,2,bird,0.6028225806451613
gaussian,gaussian,3,cat,0.491324200913242
gaussian,gaussian,4,deer,0.7199488491048593
gaussian,gaussian,5,dog,0.5545851528384279
gaussian,gaussian,6,frog,0.7589013224821973
gaussian,gaussian,7,horse,0.7566418703506907
gaussian,gaussian,8,ship,0.8424657534246576
gaussian,gaussian,9,truck,0.7040280210157618
salt_pepper,salt_pepper,0,airplane,0.7417640807651434
salt_pepper,salt_pepper,1,automobile,0.8530092592592593
salt_pepper,salt_pepper,2,bird,0.579250720461095
salt_pepper,salt_pepper,3,cat,0.49540347293156284
salt_pepper,salt_pepper,4,deer,0.6163227016885553
salt_pepper,salt_pepper,5,dog,0.5517543859649123
salt_pepper,salt_pepper,6,frog,0.7671957671957672
salt_pepper,salt_pepper,7,horse,0.7392638036809815
salt_pepper,salt_pepper,8,ship,0.7862745098039216
salt_pepper,salt_pepper,9,truck,0.7495126705653021
blur,blur,0,airplane,0.7305101058710298
blur,blur,1,automobile,0.8297644539614561
blur,blur,2,bird,0.6115183246073298
blur,blur,3,cat,0.4822429906542056
blur,blur,4,deer,0.6167002012072434
blur,blur,5,dog,0.5652968036529681
blur,blur,6,frog,0.7254716981132076
blur,blur,7,horse,0.7497337593184239
blur,blur,8,ship,0.832258064516129
blur,blur,9,truck,0.766260162601626
mixed,mixed,0,airplane,0.745829244357213
mixed,mixed,1,automobile,0.8187845303867404
mixed,mixed,2,bird,0.5866935483870968
mixed,mixed,3,cat,0.46266094420600856
mixed,mixed,4,deer,0.60549558390579
mixed,mixed,5,dog,0.5486725663716814
mixed,mixed,6,frog,0.7221115537848606
mixed,mixed,7,horse,0.7449306296691569
mixed,mixed,8,ship,0.8290322580645161
mixed,mixed,9,truck,0.7480237154150198
